time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-03T13:42:53.068Z,53.1639,-166.9092,42.93,4.6,mb,,170,0.631,1.03,us,us7000eigv,2021-07-03T14:35:13.543Z,"82 km SSW of Unalaska, Alaska",earthquake,3.2,9.1,0.042,172,reviewed,us,us
2021-07-03T13:09:46.174Z,-4.2715,102.3411,56.38,5.2,mb,,105,0.619,0.84,us,us7000eigl,2021-07-03T13:35:27.389Z,"52 km S of Bengkulu, Indonesia",earthquake,8.1,7.8,0.105,30,reviewed,us,us
2021-07-03T12:48:57.580Z,62.9235,-148.6542,1.2,2.9,ml,,,,0.69,ak,ak0218gibgt5,2021-07-03T13:03:54.040Z,"54 km SSE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-07-03T12:04:50.240Z,17.992,-67.0171,12,2.86,md,23,138,0.0353,0.28,pr,pr2021184006,2021-07-03T13:44:42.289Z,"Puerto Rico region",earthquake,0.66,0.38,0.32,19,reviewed,pr,pr
2021-07-03T12:00:32.659Z,62.1081,-149.7289,35.2,2.9,ml,,,,0.58,ak,ak0218gi14m5,2021-07-03T12:11:05.099Z,"8 km SE of Susitna North, Alaska",earthquake,,4.5,,,automatic,ak,ak
2021-07-03T11:58:07.329Z,-43.4232,92.0614,10,5.7,mww,,41,16.175,0.77,us,us7000eigf,2021-07-03T14:01:10.473Z,"southeast Indian Ridge",earthquake,10.1,1.9,0.093,11,reviewed,us,us
2021-07-03T10:57:05.510Z,17.9756,-67.2315,11,2.87,md,20,241,0.1257,0.18,pr,pr2021184005,2021-07-03T11:43:09.656Z,"4 km W of Pole Ojea, Puerto Rico",earthquake,0.88,0.69,0.24,16,reviewed,pr,pr
2021-07-03T10:41:39.610Z,35.9498329,-120.5,10.25,3.25,ml,54,60,0.007402,0.08,nc,nc73582536,2021-07-03T14:30:26.432Z,"8km NW of Parkfield, CA",earthquake,0.17,0.21,0.213,30,automatic,nc,nc
2021-07-03T09:57:46.383Z,24.1412,125.0754,10,4.6,mb,,127,1.911,0.71,us,us7000eify,2021-07-03T10:21:14.040Z,"76 km SSW of Hirara, Japan",earthquake,12.2,1.9,0.114,24,reviewed,us,us
2021-07-03T09:47:11.800Z,34.251667,-117.0975037,4.85,3.04,ml,129,19,0.1154,0.17,ci,ci39727919,2021-07-03T14:25:21.581Z,"5km NNE of Running Springs, CA",earthquake,0.18,0.93,0.252,17,automatic,ci,ci
